Recording,Recording1,Recording1,Recording1
Time_from_first_fixation_to_mouse_click_and_release.照,,,
Time_from_first_fixation_to_mouse_click_and_release.の,,,
Time_from_first_fixation_to_mouse_click_and_release.こ,,,
Time_from_first_fixation_to_mouse_click_and_release.と,,,
Time_from_first_fixation_to_mouse_click_and_release.。,,,
Total_duration_of_whole_fixations,126799,126799,161174
Average_duration_of_whole_fixations,345,345,372
Number_of_whole_fixations,368,368,433
Duration_of_first_whole_fixation,100,100,842
Average_whole-fixation_pupil_diameter,2.46963,2.46963,2.55113
Number_of_saccades,347,347,412
Average_peak_velocity_of_saccades,84.67,84.67,95.9
Minimum_peak_velocity_of_saccades,30.1,30.1,30.1
Maximum_peak_velocity_of_saccades,419.06,419.06,446.32
Standard_deviation_of_peak_velocity_of_saccades,74.39,74.39,83.36
Average_amplitude_of_saccades,1.91,1.91,2.37
Minimum_amplitude_of_saccades,0.3,0.3,0.3
Maximum_amplitude_of_saccades,19.66,19.66,26.4
Total_amplitude_of_saccades,663.65,663.65,977.33
Time_to_first_saccade,243,243,384
Direction_of_first_saccade,165.38,165.38,142.48
Peak_velocity_of_first_saccade,144.36,144.36,174.71
Average_velocity_of_first_saccade,99.72,99.72,112.67
Amplitude_of_first_saccade,2.62,2.62,4.37
Number_of_saccades_in_AOI.梅雨明けと共に日本の真夏は始まる。,4,4,4
Number_of_saccades_in_AOI.大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,2,2,2
Number_of_saccades_in_AOI.梅雨明けの直後は、梅雨明け十日といい、太平洋高気圧の勢力が強く気圧配置が安定しているので穏やかな晴天が続くことが多く、夕立も発生しにくいので、レジャーには最適だという意見もある。,26,26,26
Number_of_saccades_in_AOI.これは、梅雨前線を押し上げた小笠原高気圧の強い状態が、小笠原高気圧の活動の強弱の周期、つまり10日くらい続くためである。,28,28,28
Number_of_saccades_in_AOI.日本列島に張り出してくる小笠原高気圧から暖かく湿った空気が日本列島に入り、気圧の差が小さく、等圧線の間隔が広いために風も弱いので非常に蒸し暑くなる。,24,24,24
Number_of_saccades_in_AOI.風が弱い上に湿度が高いため、体感温度は熱帯地方を上回るほどである。,29,29,29
Number_of_saccades_in_AOI.さらに、高い湿度が局地的に積乱雲を発生させ、雷を伴い激しく雨が降る夕立が起こりやすい。,17,17,17
Number_of_saccades_in_AOI.夏の強い日射で暖まった地上付近の湿った空気が強い上昇気流で上昇し雲となり、上空まで達する積乱雲を作るのである。,22,22,22
Number_of_saccades_in_AOI.このような夏の典型的な気圧配置を南高北低型という。,15,15,15
Number_of_saccades_in_AOI.高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,36,36,36
Number_of_saccades_in_AOI.風が弱く日射が強ければ、昼間は海風、夜間は陸風という海陸風がはっきりと現れる地域が多い。,21,21,21
Number_of_saccades_in_AOI.8月7日前後の立秋の頃が最も暑くなる。,4,4,4
Number_of_saccades_in_AOI.一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,28,28,28
Number_of_saccades_in_AOI.そのような年には梅雨前線の北上が進まず、低温や日照不足により冷害が発生する。,16,16,16
Number_of_saccades_in_AOI.また、主に7月から9月には、台風が日本に接近することがある。,2,2,2
Number_of_saccades_in_AOI.詳しくは#台風を参照のこと。,0,0,0
Number_of_saccades_in_AOI.梅,0,0,0
Number_of_saccades_in_AOI.雨,0,0,0
Number_of_saccades_in_AOI.明,0,0,0
Number_of_saccades_in_AOI.け,0,0,0
Number_of_saccades_in_AOI.と,0,0,0
Number_of_saccades_in_AOI.共,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.日,0,0,0
Number_of_saccades_in_AOI.本,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.真,0,0,0
Number_of_saccades_in_AOI.夏,0,0,0
Number_of_saccades_in_AOI.は,0,0,0
Number_of_saccades_in_AOI.始,0,0,0
Number_of_saccades_in_AOI.ま,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.。,0,0,0
Number_of_saccades_in_AOI.大,0,0,0
Number_of_saccades_in_AOI.暑,0,0,0
Number_of_saccades_in_AOI.（,0,0,0
Number_of_saccades_in_AOI.7,0,0,0
Number_of_saccades_in_AOI.月,0,0,0
Number_of_saccades_in_AOI.2,0,0,0
Number_of_saccades_in_AOI.3,0,0,0
Number_of_saccades_in_AOI.日,0,0,0
Number_of_saccades_in_AOI.頃,0,0,0
Number_of_saccades_in_AOI.）,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.頃,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.は,0,0,0
Number_of_saccades_in_AOI.日,0,0,0
Number_of_saccades_in_AOI.本,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.大,0,0,0
Number_of_saccades_in_AOI.部,0,0,0
Number_of_saccades_in_AOI.分,0,0,0
Number_of_saccades_in_AOI.は,0,0,0
Number_of_saccades_in_AOI.梅,0,0,0
Number_of_saccades_in_AOI.雨,0,0,0
Number_of_saccades_in_AOI.明,0,0,0
Number_of_saccades_in_AOI.け,0,0,0
Number_of_saccades_in_AOI.し,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.本,0,0,0
Number_of_saccades_in_AOI.格,0,0,0
Number_of_saccades_in_AOI.的,0,0,0
Number_of_saccades_in_AOI.な,0,0,0
Number_of_saccades_in_AOI.夏,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.暑,0,0,0
Number_of_saccades_in_AOI.さ,0,0,0
Number_of_saccades_in_AOI.を,0,0,0
Number_of_saccades_in_AOI.迎,0,0,0
Number_of_saccades_in_AOI.え,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.。,0,0,0
Number_of_saccades_in_AOI.梅,0,0,0
Number_of_saccades_in_AOI.雨,0,0,0
Number_of_saccades_in_AOI.明,0,0,0
Number_of_saccades_in_AOI.け,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.直,0,0,0
Number_of_saccades_in_AOI.後,0,0,0
Number_of_saccades_in_AOI.は,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.梅,0,0,0
Number_of_saccades_in_AOI.雨,0,0,0
Number_of_saccades_in_AOI.明,0,0,0
Number_of_saccades_in_AOI.け,0,0,0
Number_of_saccades_in_AOI.十,0,0,0
Number_of_saccades_in_AOI.日,0,0,0
Number_of_saccades_in_AOI.と,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.太,0,0,0
Number_of_saccades_in_AOI.平,0,0,0
Number_of_saccades_in_AOI.洋,0,0,0
Number_of_saccades_in_AOI.高,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.圧,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.勢,0,0,0
Number_of_saccades_in_AOI.力,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.強,0,0,0
Number_of_saccades_in_AOI.く,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.圧,0,0,0
Number_of_saccades_in_AOI.配,0,0,0
Number_of_saccades_in_AOI.置,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.安,0,0,0
Number_of_saccades_in_AOI.定,0,0,0
Number_of_saccades_in_AOI.し,0,0,0
Number_of_saccades_in_AOI.て,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.で,0,0,0
Number_of_saccades_in_AOI.穏,0,0,0
Number_of_saccades_in_AOI.や,0,0,0
Number_of_saccades_in_AOI.か,0,0,0
Number_of_saccades_in_AOI.な,0,0,0
Number_of_saccades_in_AOI.晴,0,0,0
Number_of_saccades_in_AOI.天,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.続,0,0,0
Number_of_saccades_in_AOI.く,0,0,0
Number_of_saccades_in_AOI.こ,0,0,0
Number_of_saccades_in_AOI.と,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.多,0,0,0
Number_of_saccades_in_AOI.く,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.夕,0,0,0
Number_of_saccades_in_AOI.立,0,0,0
Number_of_saccades_in_AOI.も,0,0,0
Number_of_saccades_in_AOI.発,0,0,0
Number_of_saccades_in_AOI.生,0,0,0
Number_of_saccades_in_AOI.し,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.く,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.で,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.レ,0,0,0
Number_of_saccades_in_AOI.ジ,0,0,0
Number_of_saccades_in_AOI.ャ,0,0,0
Number_of_saccades_in_AOI.ー,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.は,0,0,0
Number_of_saccades_in_AOI.最,0,0,0
Number_of_saccades_in_AOI.適,0,0,0
Number_of_saccades_in_AOI.だ,0,0,0
Number_of_saccades_in_AOI.と,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.う,0,0,0
Number_of_saccades_in_AOI.意,0,0,0
Number_of_saccades_in_AOI.見,0,0,0
Number_of_saccades_in_AOI.も,0,0,0
Number_of_saccades_in_AOI.あ,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.。,0,0,0
Number_of_saccades_in_AOI.こ,0,0,0
Number_of_saccades_in_AOI.れ,0,0,0
Number_of_saccades_in_AOI.は,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.梅,0,0,0
Number_of_saccades_in_AOI.雨,0,0,0
Number_of_saccades_in_AOI.前,0,0,0
Number_of_saccades_in_AOI.線,0,0,0
Number_of_saccades_in_AOI.を,0,0,0
Number_of_saccades_in_AOI.押,0,0,0
Number_of_saccades_in_AOI.し,0,0,0
Number_of_saccades_in_AOI.上,0,0,0
Number_of_saccades_in_AOI.げ,0,0,0
Number_of_saccades_in_AOI.た,0,0,0
Number_of_saccades_in_AOI.小,0,0,0
Number_of_saccades_in_AOI.笠,0,0,0
Number_of_saccades_in_AOI.原,0,0,0
Number_of_saccades_in_AOI.高,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.圧,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.強,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.状,0,0,0
Number_of_saccades_in_AOI.態,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.小,0,0,0
Number_of_saccades_in_AOI.笠,0,0,0
Number_of_saccades_in_AOI.原,0,0,0
Number_of_saccades_in_AOI.高,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.圧,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.活,0,0,0
Number_of_saccades_in_AOI.動,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.強,0,0,0
Number_of_saccades_in_AOI.弱,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.周,0,0,0
Number_of_saccades_in_AOI.期,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.つ,0,0,0
Number_of_saccades_in_AOI.ま,0,0,0
Number_of_saccades_in_AOI.り,0,0,0
Number_of_saccades_in_AOI.1,0,0,0
Number_of_saccades_in_AOI.0,0,0,0
Number_of_saccades_in_AOI.日,0,0,0
Number_of_saccades_in_AOI.く,0,0,0
Number_of_saccades_in_AOI.ら,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.続,0,0,0
Number_of_saccades_in_AOI.く,0,0,0
Number_of_saccades_in_AOI.た,0,0,0
Number_of_saccades_in_AOI.め,0,0,0
Number_of_saccades_in_AOI.で,0,0,0
Number_of_saccades_in_AOI.あ,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.。,0,0,0
Number_of_saccades_in_AOI.日,0,0,0
Number_of_saccades_in_AOI.本,0,0,0
Number_of_saccades_in_AOI.列,0,0,0
Number_of_saccades_in_AOI.島,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.張,0,0,0
Number_of_saccades_in_AOI.り,0,0,0
Number_of_saccades_in_AOI.出,0,0,0
Number_of_saccades_in_AOI.し,0,0,0
Number_of_saccades_in_AOI.て,0,0,0
Number_of_saccades_in_AOI.く,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.小,0,0,0
Number_of_saccades_in_AOI.笠,0,0,0
Number_of_saccades_in_AOI.原,0,0,0
Number_of_saccades_in_AOI.高,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.圧,0,0,0
Number_of_saccades_in_AOI.か,0,0,0
Number_of_saccades_in_AOI.ら,0,0,0
Number_of_saccades_in_AOI.暖,0,0,0
Number_of_saccades_in_AOI.か,0,0,0
Number_of_saccades_in_AOI.く,0,0,0
Number_of_saccades_in_AOI.湿,0,0,0
Number_of_saccades_in_AOI.っ,0,0,0
Number_of_saccades_in_AOI.た,0,0,0
Number_of_saccades_in_AOI.空,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.日,0,0,0
Number_of_saccades_in_AOI.本,0,0,0
Number_of_saccades_in_AOI.列,0,0,0
Number_of_saccades_in_AOI.島,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.入,0,0,0
Number_of_saccades_in_AOI.り,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.圧,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.差,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.小,0,0,0
Number_of_saccades_in_AOI.さ,0,0,0
Number_of_saccades_in_AOI.く,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.等,0,0,0
Number_of_saccades_in_AOI.圧,0,0,0
Number_of_saccades_in_AOI.線,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.間,0,0,0
Number_of_saccades_in_AOI.隔,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.広,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.た,0,0,0
Number_of_saccades_in_AOI.め,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.風,0,0,0
Number_of_saccades_in_AOI.も,0,0,0
Number_of_saccades_in_AOI.弱,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.で,0,0,0
Number_of_saccades_in_AOI.非,0,0,0
Number_of_saccades_in_AOI.常,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.蒸,0,0,0
Number_of_saccades_in_AOI.し,0,0,0
Number_of_saccades_in_AOI.暑,0,0,0
Number_of_saccades_in_AOI.く,0,0,0
Number_of_saccades_in_AOI.な,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.。,0,0,0
Number_of_saccades_in_AOI.風,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.弱,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.上,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.湿,0,0,0
Number_of_saccades_in_AOI.度,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.高,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.た,0,0,0
Number_of_saccades_in_AOI.め,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.体,0,0,0
Number_of_saccades_in_AOI.感,0,0,0
Number_of_saccades_in_AOI.温,0,0,0
Number_of_saccades_in_AOI.度,0,0,0
Number_of_saccades_in_AOI.は,0,0,0
Number_of_saccades_in_AOI.熱,0,0,0
Number_of_saccades_in_AOI.帯,0,0,0
Number_of_saccades_in_AOI.地,0,0,0
Number_of_saccades_in_AOI.方,0,0,0
Number_of_saccades_in_AOI.を,0,0,0
Number_of_saccades_in_AOI.上,0,0,0
Number_of_saccades_in_AOI.回,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.ほ,0,0,0
Number_of_saccades_in_AOI.ど,0,0,0
Number_of_saccades_in_AOI.で,0,0,0
Number_of_saccades_in_AOI.あ,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.。,0,0,0
Number_of_saccades_in_AOI.さ,0,0,0
Number_of_saccades_in_AOI.ら,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.高,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.湿,0,0,0
Number_of_saccades_in_AOI.度,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.局,0,0,0
Number_of_saccades_in_AOI.地,0,0,0
Number_of_saccades_in_AOI.的,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.積,0,0,0
Number_of_saccades_in_AOI.乱,0,0,0
Number_of_saccades_in_AOI.雲,0,0,0
Number_of_saccades_in_AOI.を,0,0,0
Number_of_saccades_in_AOI.発,0,0,0
Number_of_saccades_in_AOI.生,0,0,0
Number_of_saccades_in_AOI.さ,0,0,0
Number_of_saccades_in_AOI.せ,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.雷,0,0,0
Number_of_saccades_in_AOI.を,0,0,0
Number_of_saccades_in_AOI.伴,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.激,0,0,0
Number_of_saccades_in_AOI.し,0,0,0
Number_of_saccades_in_AOI.く,0,0,0
Number_of_saccades_in_AOI.雨,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.降,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.夕,0,0,0
Number_of_saccades_in_AOI.立,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.起,0,0,0
Number_of_saccades_in_AOI.こ,0,0,0
Number_of_saccades_in_AOI.り,0,0,0
Number_of_saccades_in_AOI.や,0,0,0
Number_of_saccades_in_AOI.す,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.。,0,0,0
Number_of_saccades_in_AOI.夏,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.強,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.日,0,0,0
Number_of_saccades_in_AOI.射,0,0,0
Number_of_saccades_in_AOI.で,0,0,0
Number_of_saccades_in_AOI.暖,0,0,0
Number_of_saccades_in_AOI.ま,0,0,0
Number_of_saccades_in_AOI.っ,0,0,0
Number_of_saccades_in_AOI.た,0,0,0
Number_of_saccades_in_AOI.地,0,0,0
Number_of_saccades_in_AOI.上,0,0,0
Number_of_saccades_in_AOI.付,0,0,0
Number_of_saccades_in_AOI.近,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.湿,0,0,0
Number_of_saccades_in_AOI.っ,0,0,0
Number_of_saccades_in_AOI.た,0,0,0
Number_of_saccades_in_AOI.空,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.強,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.上,0,0,0
Number_of_saccades_in_AOI.昇,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.流,0,0,0
Number_of_saccades_in_AOI.で,0,0,0
Number_of_saccades_in_AOI.上,0,0,0
Number_of_saccades_in_AOI.昇,0,0,0
Number_of_saccades_in_AOI.し,0,0,0
Number_of_saccades_in_AOI.雲,0,0,0
Number_of_saccades_in_AOI.と,0,0,0
Number_of_saccades_in_AOI.な,0,0,0
Number_of_saccades_in_AOI.り,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.上,0,0,0
Number_of_saccades_in_AOI.空,0,0,0
Number_of_saccades_in_AOI.ま,0,0,0
Number_of_saccades_in_AOI.で,0,0,0
Number_of_saccades_in_AOI.達,0,0,0
Number_of_saccades_in_AOI.す,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.積,0,0,0
Number_of_saccades_in_AOI.乱,0,0,0
Number_of_saccades_in_AOI.雲,0,0,0
Number_of_saccades_in_AOI.を,0,0,0
Number_of_saccades_in_AOI.作,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.で,0,0,0
Number_of_saccades_in_AOI.あ,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.。,0,0,0
Number_of_saccades_in_AOI.こ,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.よ,0,0,0
Number_of_saccades_in_AOI.う,0,0,0
Number_of_saccades_in_AOI.な,0,0,0
Number_of_saccades_in_AOI.夏,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.典,0,0,0
Number_of_saccades_in_AOI.型,0,0,0
Number_of_saccades_in_AOI.的,0,0,0
Number_of_saccades_in_AOI.な,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.圧,0,0,0
Number_of_saccades_in_AOI.配,0,0,0
Number_of_saccades_in_AOI.置,0,0,0
Number_of_saccades_in_AOI.を,0,0,0
Number_of_saccades_in_AOI.南,0,0,0
Number_of_saccades_in_AOI.高,0,0,0
Number_of_saccades_in_AOI.北,0,0,0
Number_of_saccades_in_AOI.低,0,0,0
Number_of_saccades_in_AOI.型,0,0,0
Number_of_saccades_in_AOI.と,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.う,0,0,0
Number_of_saccades_in_AOI.。,0,0,0
Number_of_saccades_in_AOI.高,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.圧,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.東,0,0,0
Number_of_saccades_in_AOI.シ,0,0,0
Number_of_saccades_in_AOI.ナ,0,0,0
Number_of_saccades_in_AOI.海,0,0,0
Number_of_saccades_in_AOI.や,0,0,0
Number_of_saccades_in_AOI.朝,0,0,0
Number_of_saccades_in_AOI.鮮,0,0,0
Number_of_saccades_in_AOI.半,0,0,0
Number_of_saccades_in_AOI.島,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.ま,0,0,0
Number_of_saccades_in_AOI.で,0,0,0
Number_of_saccades_in_AOI.張,0,0,0
Number_of_saccades_in_AOI.り,0,0,0
Number_of_saccades_in_AOI.出,0,0,0
Number_of_saccades_in_AOI.し,0,0,0
Number_of_saccades_in_AOI.膨,0,0,0
Number_of_saccades_in_AOI.ら,0,0,0
Number_of_saccades_in_AOI.ん,0,0,0
Number_of_saccades_in_AOI.だ,0,0,0
Number_of_saccades_in_AOI.形,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.な,0,0,0
Number_of_saccades_in_AOI.っ,0,0,0
Number_of_saccades_in_AOI.た,0,0,0
Number_of_saccades_in_AOI.り,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.副,0,0,0
Number_of_saccades_in_AOI.次,0,0,0
Number_of_saccades_in_AOI.的,0,0,0
Number_of_saccades_in_AOI.な,0,0,0
Number_of_saccades_in_AOI.高,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.圧,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.で,0,0,0
Number_of_saccades_in_AOI.き,0,0,0
Number_of_saccades_in_AOI.た,0,0,0
Number_of_saccades_in_AOI.り,0,0,0
Number_of_saccades_in_AOI.す,0,0,0
Number_of_saccades_in_AOI.る,0,0,0
Number_of_saccades_in_AOI.と,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.ほ,0,0,0
Number_of_saccades_in_AOI.ぼ,0,0,0
Number_of_saccades_in_AOI.無,0,0,0
Number_of_saccades_in_AOI.風,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.な,0,0,0
Number_of_saccades_in_AOI.り,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.高,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.圧,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.勢,0,0,0
Number_of_saccades_in_AOI.力,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
Number_of_saccades_in_AOI.強,0,0,0
Number_of_saccades_in_AOI.い,0,0,0
Number_of_saccades_in_AOI.の,0,0,0
Number_of_saccades_in_AOI.で,0,0,0
Number_of_saccades_in_AOI.天,0,0,0
Number_of_saccades_in_AOI.気,0,0,0
Number_of_saccades_in_AOI.も,0,0,0
Number_of_saccades_in_AOI.し,0,0,0
Number_of_saccades_in_AOI.ば,0,0,0
Number_of_saccades_in_AOI.ら,0,0,0
Number_of_saccades_in_AOI.く,0,0,0
Number_of_saccades_in_AOI.崩,0,0,0
Number_of_saccades_in_AOI.れ,0,0,0
Number_of_saccades_in_AOI.ず,0,0,0
Number_of_saccades_in_AOI.、,0,0,0
Number_of_saccades_in_AOI.西,0,0,0
Number_of_saccades_in_AOI.日,0,0,0
Number_of_saccades_in_AOI.本,0,0,0
Number_of_saccades_in_AOI.を,0,0,0
Number_of_saccades_in_AOI.中,0,0,0
Number_of_saccades_in_AOI.心,0,0,0
Number_of_saccades_in_AOI.に,0,0,0
Number_of_saccades_in_AOI.猛,0,0,0
Number_of_saccades_in_AOI.暑,0,0,0
Number_of_saccades_in_AOI.が,0,0,0
